codigo_ibge,nome,uf,url_prefeitura
3507209,Borá,SP,https://www.bora.sp.gov.br/
3507308,Boracéia,SP,https://www.boraceia.sp.gov.br/
3507704,Braúna,SP,https://www.brauna.sp.gov.br/
3507753,Brejo Alegre,SP,https://www.brejoalegre.sp.gov.br/
3508801,Cafelândia,SP,https://www.cafelandia.sp.gov.br/
3508900,Caiabu,SP,https://www.caiabu.sp.gov.br/
3511003,Castilho,SP,https://www.castilho.sp.gov.br/
3511102,Catanduva,SP,https://www.catanduva.sp.gov.br/
3511706,Charqueada,SP,https://www.charqueada.sp.gov.br/
3511904,Clementina,SP,https://www.clementina.sp.gov.br/
3512605,Coronel Macedo,SP,https://www.coronelmacedo.sp.gov.br/
3512506,Coroados,SP,https://www.coroados.sp.gov.br/
3513850,Dirce Reis,SP,https://www.dircereis.sp.gov.br/
3514403,Dracena,SP,https://www.dracena.sp.gov.br/
3514601,Dumont,SP,https://www.dumont.sp.gov.br/
3514809,Eldorado,SP,https://www.eldorado.sp.gov.br/
3515608,Fernando Prestes,SP,https://www.fernandoprestes.sp.gov.br/
3515905,Floreal,SP,https://www.floreal.sp.gov.br/
3516705,Garça,SP,https://www.garca.sp.gov.br/
3517000,Getulina,SP,https://www.getulina.sp.gov.br/
3516804,Gastão Vidigal,SP,https://www.gastaovidigal.sp.gov.br/
3516903,General Salgado,SP,https://www.generalsalgado.sp.gov.br/
3517109,Glicério,SP,https://www.glicerio.sp.gov.br/
3517208,Guaiçara,SP,https://www.guaicara.sp.gov.br/
3517307,Guaimbê,SP,https://www.guaimbe.sp.gov.br/
3517901,Guaraci,SP,https://www.guaraci.sp.gov.br/
3518206,Guararapes,SP,https://www.guararapes.sp.gov.br/
3519105,Iacanga,SP,https://www.iacanga.sp.gov.br/
3519402,Ibirá,SP,https://www.ibira.sp.gov.br/
3519303,Ibaté,SP,https://www.ibate.sp.gov.br/
3519600,Ibitinga,SP,https://www.ibitinga.sp.gov.br/
3520004,Igaraçu do Tietê,SP,https://www.igaracudotiete.sp.gov.br/
3519907,Iepê,SP,https://www.iepe.sp.gov.br/
3520301,Iguape,SP,https://www.iguape.sp.gov.br/
3520400,Ilhabela,SP,https://www.ilhabela.sp.gov.br/
3520707,Indiaporã,SP,https://www.indiapora.sp.gov.br/
3521150,Ipiguá,SP,https://www.ipigua.sp.gov.br/
3521309,Ipuã,SP,https://www.ipua.sp.gov.br/
3521408,Iracemápolis,SP,https://www.iracemapolis.sp.gov.br/
3521606,Irapuru,SP,https://www.irapuru.sp.gov.br/
3522653,Itapirapuã Paulista,SP,https://www.itapirapuapaulista.sp.gov.br/
3522802,Itaporanga,SP,https://www.itaporanga.sp.gov.br/
3522901,Itapuí,SP,https://www.itapui.sp.gov.br/
3522703,Itápolis,SP,https://www.itapolis.sp.gov.br/
3523305,Itariri,SP,https://www.itariri.sp.gov.br/
3523800,Itobi,SP,https://www.itobi.sp.gov.br/
3524303,Jaboticabal,SP,https://www.jaboticabal.sp.gov.br/
3525102,Jardinópolis,SP,https://www.jardinopolis.sp.gov.br/
3525508,Joanópolis,SP,https://www.joanopolis.sp.gov.br/
3525607,João Ramalho,SP,https://www.joaoramalho.sp.gov.br/
3526001,Junqueirópolis,SP,https://www.junqueiropolis.sp.gov.br/
3526308,Lagoinha,SP,https://www.lagoinha.sp.gov.br/
3526506,Lavínia,SP,https://www.lavinia.sp.gov.br/
3527108,Lins,SP,https://www.lins.sp.gov.br/
3525706,José Bonifácio,SP,https://www.josebonifacio.sp.gov.br/
3527256,Lourdes,SP,https://www.lourdes.sp.gov.br/
3527702,Luiziânia,SP,https://www.luiziania.sp.gov.br/
3528403,Mairinque,SP,https://www.mairinque.sp.gov.br/
3528007,Macatuba,SP,https://www.macatuba.sp.gov.br/
3528106,Macaubal,SP,https://macaubal.sp.gov.br/
3529203,Martinópolis,SP,https://www.martinopolis.sp.gov.br/
3528809,Maracaí,SP,https://www.maracai.sp.gov.br/
3529005,Marília,SP,https://www.marilia.sp.gov.br/
3530102,Mirandópolis,SP,https://www.mirandopolis.sp.gov.br/
3530201,Mirante do Paranapanema,SP,https://www.mirantedoparanapanema.sp.gov.br/
3530300,Mirassol,SP,https://www.mirassol.sp.gov.br/
3530003,Mira Estrela,SP,https://www.miraestrela.sp.gov.br/
3530409,Mirassolândia,SP,https://www.mirassolandia.sp.gov.br/
3531407,Monte Aprazível,SP,https://www.monteaprazivel.sp.gov.br/
3531001,Monções,SP,https://www.moncoes.sp.gov.br/
3531803,Monte Mor,SP,https://www.montemor.sp.gov.br/
3531902,Morro Agudo,SP,https://www.morroagudo.sp.gov.br/
3532306,Natividade da Serra,SP,https://www.natividadedaserra.sp.gov.br/
3532603,Nhandeara,SP,https://www.nhandeara.sp.gov.br/
3533007,Nova Granada,SP,https://www.novagranada.sp.gov.br/
3533205,Nova Independência,SP,https://www.novaindependencia.sp.gov.br/
3532702,Nipoã,SP,https://www.nipoa.sp.gov.br/
3532868,Nova Castilho,SP,https://www.novacastilho.sp.gov.br/
3533304,Nova Luzitânia,SP,https://www.novaluzitania.sp.gov.br/
3533908,Olímpia,SP,https://www.olimpia.sp.gov.br/
3534708,Ourinhos,SP,https://www.ourinhos.sp.gov.br/
3534757,Ouroeste,SP,https://www.ouroeste.sp.gov.br/
3535309,Palmital,SP,https://www.palmital.sp.gov.br/
3536257,Parisi,SP,https://www.parisi.sp.gov.br/
3535804,Paranapanema,SP,https://www.paranapanema.sp.gov.br/
3536307,Patrocínio Paulista,SP,https://www.patrociniopaulista.sp.gov.br/
3536505,Paulínia,SP,https://www.paulinia.sp.gov.br/
3536604,Paulo de Faria,SP,https://www.paulodefaria.sp.gov.br/
3536703,Pederneiras,SP,https://www.pederneiras.sp.gov.br/
3537305,Penápolis,SP,https://www.penapolis.sp.gov.br/
3537800,Piedade,SP,https://www.piedade.sp.gov.br/
3538105,Pindorama,SP,https://www.pindorama.sp.gov.br/
3538501,Piquete,SP,https://www.piquete.sp.gov.br/
3539608,Planalto,SP,https://www.planalto.sp.gov.br/
3540002,Pompéia,SP,https://www.pompeia.sp.gov.br/
3539905,Poloni,SP,https://www.poloni.sp.gov.br/
3540309,Pontes Gestal,SP,https://www.pontesgestal.sp.gov.br/
3540507,Porangaba,SP,https://www.porangaba.sp.gov.br/
3540408,Populina,SP,https://www.populina.sp.gov.br/
3540804,Potirendaba,SP,https://www.potirendaba.sp.gov.br/
3541059,Pratânia,SP,https://www.pratania.sp.gov.br/
3541208,Presidente Bernardes,SP,https://www.presidentebernardes.sp.gov.br/
3541307,Presidente Epitácio,SP,https://www.presidenteepitacio.sp.gov.br/
3541604,Promissão,SP,https://www.promissao.sp.gov.br/
3542008,Quintana,SP,https://www.quintana.sp.gov.br/
3541802,Queiroz,SP,https://www.queiroz.sp.gov.br/
3542206,Rancharia,SP,https://www.rancharia.sp.gov.br/
3542404,Regente Feijó,SP,https://www.regentefeijo.sp.gov.br/
3543303,Ribeirão Pires,SP,https://www.ribeiraopires.sp.gov.br/
3543501,Riversul,SP,https://www.riversul.sp.gov.br/
3544608,Sabino,SP,https://www.sabino.sp.gov.br/
3544905,Sales Oliveira,SP,https://www.salesoliveira.sp.gov.br/
3545308,Salto de Pirapora,SP,https://www.saltodepirapora.sp.gov.br/
3546504,Santa Ernestina,SP,https://www.santaernestina.sp.gov.br/
3547007,Santa Maria da Serra,SP,https://www.santamariadaserra.sp.gov.br/
3547700,Santo Anastácio,SP,https://www.santoanastacio.sp.gov.br/
3550100,São Manuel,SP,https://www.saomanuel.sp.gov.br/
3550506,São Pedro do Turvo,SP,https://www.saopedrodoturvo.sp.gov.br/
3551306,Sebastianópolis do Sul,SP,https://www.sebastianopolisdosul.sp.gov.br/
3550605,São Roque,SP,https://www.saoroque.sp.gov.br/
3552304,Sud Mennucci,SP,https://www.sudmennucci.sp.gov.br/
3553500,Tapiraí,SP,https://www.tapirai.sp.gov.br/
3553658,Taquaral,SP,https://www.taquaral.sp.gov.br/
3554300,Teodoro Sampaio,SP,https://www.teodorosampaio.sp.gov.br/
3555208,Turiúba,SP,https://www.turiuba.sp.gov.br/
3555109,Tupi Paulista,SP,https://www.tupipaulista.sp.gov.br/
3555703,União Paulista,SP,https://uniaopaulista.sp.gov.br/
3556107,Valentim Gentil,SP,https://www.valentimgentil.sp.gov.br/
3556206,Valinhos,SP,https://www.valinhos.sp.gov.br/
3556305,Valparaíso,SP,https://www.valparaiso.sp.gov.br/
3557006,Votorantim,SP,https://www.votorantim.sp.gov.br/
3556958,Vitória Brasil,SP,https://www.vitoriabrasil.sp.gov.br/
3556701,Vinhedo,SP,https://www.vinhedo.sp.gov.br/
3557105,Votuporanga,SP,https://www.votuporanga.sp.gov.br/
3557154,Zacarias,SP,https://www.zacarias.sp.gov.br/
